tag,stream_title,link
E20BL06,Uge 2 Lille Dag Polære koordinater og eksponentialfunktionen,https://video.dtu.dk/media/Uge+2%2C+Lille+DagA+Pol%C3%A6re+koordinater+og+eksponentialfunktionen/0_3if52tui/340965
E20BL07,Uge 3 Store Dag Polynomier (del 1),https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+%28del+1%29/0_7olyfcbl/340965
E20BL08,Uge 3 Store Dag Polynomier (del 2),https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+%28del+2%29/0_sj60683w/340965
E20BL09,Uge 3 Lille Dag Differentiabilitet,https://video.dtu.dk/media/Uge+3%2C+Lille+DagA+Differentiabilitet/0_6rxmqh6v/340965
E20BL10,Uge 4 Store Dag Taylors formler (del 1),https://video.dtu.dk/media/Uge+4%2C+Store+DagA+Taylors+formler+%28del+1%29/0_2tut30es/340965
E20BL11,Uge 4 Store Dag Taylors formler (del 2),https://video.dtu.dk/media/Uge+4%2C+Store+DagA+Taylors+formler+%28del+2%29/0_dfszn6xp/340965
E20BL14,Uge 5 Lille Dag Matrixalgebra,https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+Matrixalgebra/0_7ru2c0tf/340965
E20BL15,Uge 6 Store dag Determinanter og vektor-geometri - Del 1,https://video.dtu.dk/media/Uge+6%2C+Store+dagA+Determinanter+og+vektor-geometri+-+Del+1/0_mnim0v2b/340965
E20BL16,Uge 6 Store dag Determinanter og vektor-geometri - Del 2,https://video.dtu.dk/media/Uge+6%2C+Store+dagA+Determinanter+og+vektor-geometri+-+Del+2/0_49ydmrok/340965
E20BL17,Uge 6 Lille Dag Geometri i planen og rummet,https://video.dtu.dk/media/Uge+6%2C+Lille+DagA+Geometri+i+planen+og+rummet/0_331ljdm9/340965
E20BL18,Uge 7 Store Dag Vektorrum (Del 1),https://video.dtu.dk/media/Uge+7%2C+Store+DagA+Vektorrum+%28Del+1%29/0_5c781w69/340965
E20BL19,Uge 7 Store Dag Vektorrum (Del 2),https://video.dtu.dk/media/Uge+7%2C+Store+DagA+Vektorrum+%28Del+2%29/0_rkty7n51/340965
