semester,skema,title,link
E14/F15,Skema C,Flader/Fladeintegraler Del 2,https://video.dtu.dk/media/Flader+Fladeintegraler+Del+2/0_223lng4r/200601
E14/F15,Skema C,Rum integraler Del 1,https://video.dtu.dk/media/Rum+integraler+Del+1/0_ned88ak4/200601
E14/F15,Skema C,Rum integraler Del 2,https://video.dtu.dk/media/Rum+integraler+Del+2/0_4mm20kvd/200601
E14/F15,Skema C,Vektorfelter Del 1,https://video.dtu.dk/media/Vektorfelter+Del+1/0_frir90xy/200601
E14/F15,Skema C,Vektorfelter Del 2,https://video.dtu.dk/media/Vektorfelter+Del+2/0_h5vgfj0x/200601
E14/F15,Skema C,Tangentielt kurveintegral Del 1,https://video.dtu.dk/media/Tangentielt+kurveintegral+Del+1/0_r0mq9efy/200601
E14/F15,Skema C,Tangentielt kurveintegral Del 2,https://video.dtu.dk/media/Tangentielt+kurveintegral+Del+2/0_3jcjgell/200601
E14/F15,Skema C,Flux Del 1,https://video.dtu.dk/media/Flux+Del+1/0_had66szm/200601
E14/F15,Skema C,Flux Del 2,https://video.dtu.dk/media/Flux+Del+2/0_wgx6znxg/200601
E14/F15,Skema C,Gauss sætning Del 2,https://video.dtu.dk/media/Gauss+s%C3%A6tning+Del+2/0_ax49iqh2/200601
E14/F15,Skema C,Stokes/Potentialer Del 1,https://video.dtu.dk/media/Stokes+Potentialer+Del+1/0_3o3xp6lu/200601
E14/F15,Skema C,Stokes/Potentialer Del 2,https://video.dtu.dk/media/Stokes+Potentialer+Del+2/0_e1yjrr3x/200601
E14/F15,Skema C,Eksamenstræning Del 2,https://video.dtu.dk/media/Eksamenstr%C3%A6ning+Del+2/0_54fyue2i/200601
E14/F15,Skema C,Eksamenstræning Del 1,https://video.dtu.dk/media/Eksamenstr%C3%A6ning+Del+1/0_s40ms45e/200601
E15/F16,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_e772o1mz/185147
E15/F16,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_w5hdkjwk/185147
E15/F16,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_5sm960d4/185147
E15/F16,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_dmyqyzi0/185147
E15/F16,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_ap282usn/185147
E15/F16,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_vyvs4kh6/185147
E15/F16,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_6m2aim2j/185147
E15/F16,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_hn348jkm/185147
E15/F16,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_wvvnuy85/185147
